"filename", "language", "Go Checksum File", "Go", "JSON", "Go Module File", "YAML", "HTML", "Docker", "Markdown", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "CSS", "XML", "SQL", "comment", "blank", "total"
"g:\goProj\goalboard-collab\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 29, 71
"g:\goProj\goalboard-collab\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 31
"g:\goProj\goalboard-collab\backend\UnitTesting\go.sum", "Go Checksum File", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"g:\goProj\goalboard-collab\backend\UnitTesting\unitTest_test.go", "Go", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 34, 175
"g:\goProj\goalboard-collab\backend\auth\auth.go", "Go", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 76
"g:\goProj\goalboard-collab\backend\auth\mod.go", "Go", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\goProj\goalboard-collab\backend\buildtool\main.go", "Go", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 3, 23
"g:\goProj\goalboard-collab\backend\buildtool\runbuild\build.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 20, 75
"g:\goProj\goalboard-collab\backend\database\migrations\000001_create_user_table.down.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"g:\goProj\goalboard-collab\backend\database\migrations\000001_create_user_table.up.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"g:\goProj\goalboard-collab\backend\database\migrations\000002_create_goals_table.down.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"g:\goProj\goalboard-collab\backend\database\migrations\000002_create_goals_table.up.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
