Date : 2024-04-11 14:43:19
Directory : g:\goProj\goalboard-collab
Total : 78 files,  6204 codes, 218 comments, 555 blanks, all 6977 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      4,310 |          0 |          4 |      4,314 |
| Go                 |         33 |        905 |        166 |        324 |      1,395 |
| TypeScript JSX     |         12 |        588 |         46 |         98 |        732 |
| TypeScript         |          7 |         95 |          2 |         28 |        125 |
| Markdown           |          2 |         64 |          0 |         38 |        102 |
| YAML               |          1 |         62 |          0 |          7 |         69 |
| SQL                |          6 |         38 |          0 |         18 |         56 |
| JavaScript         |          3 |         35 |          1 |          3 |         39 |
| Docker             |          2 |         33 |          1 |         24 |         58 |
| Go Checksum File   |          2 |         21 |          0 |          2 |         23 |
| JSON with Comments |          1 |         21 |          2 |          3 |         26 |
| Go Module File     |          1 |         14 |          0 |          4 |         18 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| CSS                |          1 |          3 |          0 |          1 |          4 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |         78 |      6,204 |        218 |        555 |      6,977 |
| . (Files)                                                                                    |          3 |        110 |          0 |         37 |        147 |
| backend                                                                                      |         43 |        995 |        166 |        362 |      1,523 |
| backend (Files)                                                                              |          4 |         80 |          3 |         32 |        115 |
| backend\UnitTesting                                                                          |          2 |        118 |         26 |         35 |        179 |
| backend\auth                                                                                 |          2 |         56 |          4 |         18 |         78 |
| backend\buildtool                                                                            |          2 |          1 |         74 |         23 |         98 |
| backend\buildtool (Files)                                                                    |          1 |          1 |         19 |          3 |         23 |
| backend\buildtool\runbuild                                                                   |          1 |          0 |         55 |         20 |         75 |
| backend\database                                                                             |          8 |         71 |          1 |         35 |        107 |
| backend\database (Files)                                                                     |          2 |         33 |          1 |         17 |         51 |
| backend\database\migrations                                                                  |          6 |         38 |          0 |         18 |         56 |
| backend\env                                                                                  |          2 |         30 |          2 |          8 |         40 |
| backend\models                                                                               |          6 |        102 |          5 |         44 |        151 |
| backend\models (Files)                                                                       |          2 |         15 |          5 |          7 |         27 |
| backend\models\goal                                                                          |          2 |         49 |          0 |         20 |         69 |
| backend\models\user                                                                          |          2 |         38 |          0 |         17 |         55 |
| backend\pw                                                                                   |          2 |         13 |          1 |          4 |         18 |
| backend\router                                                                               |          2 |         94 |         26 |         28 |        148 |
| backend\routes                                                                               |          7 |        381 |         19 |        111 |        511 |
| backend\utils                                                                                |          6 |         49 |          5 |         24 |         78 |
| frontend                                                                                     |         32 |      5,099 |         52 |        156 |      5,307 |
| frontend (Files)                                                                             |         11 |      4,416 |          5 |         31 |      4,452 |
| frontend\public                                                                              |          1 |          1 |          0 |          0 |          1 |
| frontend\src                                                                                 |         20 |        682 |         47 |        125 |        854 |
| frontend\src (Files)                                                                         |         10 |        484 |         47 |         79 |        610 |
| frontend\src\assets                                                                          |          1 |          1 |          0 |          0 |          1 |
| frontend\src\components                                                                      |          5 |        108 |          0 |         22 |        130 |
| frontend\src\utils                                                                           |          4 |         89 |          0 |         24 |        113 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                     | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| g:\goProj\goalboard-collab\README.md                                                         | Markdown           |         42 |          0 |         29 |         71 |
| g:\goProj\goalboard-collab\backend\Dockerfile                                                | Docker             |         17 |          0 |         14 |         31 |
| g:\goProj\goalboard-collab\backend\UnitTesting\go.sum                                        | Go Checksum File   |          3 |          0 |          1 |          4 |
| g:\goProj\goalboard-collab\backend\UnitTesting\unitTest_test.go                              | Go                 |        115 |         26 |         34 |        175 |
| g:\goProj\goalboard-collab\backend\auth\auth.go                                              | Go                 |         55 |          4 |         17 |         76 |
| g:\goProj\goalboard-collab\backend\auth\mod.go                                               | Go                 |          1 |          0 |          1 |          2 |
